name,cs_idx
normalize,76
normalize,206
normalize,259
normalize,440
normalize-name.38,8
normalize-name.38,22
normalize-name.38,32
normalize-names,10
normalize-names.36.37,5
normalize.39,10
normalize.41,25
normalize.42,5
normalize.43,8
normalize.44.45,7
shen.debruijn,278
shen.debruijn,285
shen.debruijn.14,61
shen.debruijn.14,68
shen.debruijn.14.15,184
shen.debruijn.14.15,191
shen.debruijn.14.15.16,49
shen.debruijn.14.15.16,56
shen.debruijn.14.15.16.17,72
shen.debruijn.14.15.16.17,95
shen.debruijn.14.15.16.17,102
shen.debruijn.14.15.16.17.18,44
shen.kl->zinc,36
shen.normalize,72
shen.normalize,198
shen.normalize,251
shen.normalize,432
shen.normalize-name.11,8
shen.normalize-name.11,22
shen.normalize-name.11,32
shen.normalize-names,10
shen.normalize-names.12.13,5
shen.normalize.4,10
shen.normalize.6,25
shen.normalize.7,5
shen.normalize.8,8
shen.normalize.9.10,7
shen.zinc-c-tail,505
shen.zinc-c-tail,512
shen.zinc-c-tail.0,54
shen.zinc-c-tail.0,61
shen.zinc-t-tail,498
shen.zinc-t-tail,505
shen.zinc-t-tail.2,54
shen.zinc-t-tail.2,61
