f,stmt_id,var_name
vm_exec_env,26,frame_stack
vm_exec_env,109,env
vm_exec_env,109,ne
vm_exec_env,109,cur_code
vm_exec_env,109,acc
vm_exec_env,185,env
vm_exec_env,185,cur_code
vm_exec_env,185,acc
val_cons,3,v
val_cons,6,v
exec_primitive,157,result
exec_primitive,157,acc
exec_primitive,157,stack
exec_primitive,171,result
exec_primitive,171,acc
exec_primitive,171,stack
exec_primitive,185,result
exec_primitive,185,acc
exec_primitive,185,stack
exec_primitive,451,acc
exec_primitive,451,stack
exec_primitive,469,handler
exec_primitive,469,acc
exec_primitive,469,stack
val_string,3,v
val_string_from,1,v
va_init,1,a
va_push,2,a
parse_body,49,out
parse_body,49,scratch
parse_body,53,out
parse_body,53,scratch
val_lambda,5,v
val_error,3,v
